sba_physical_declaration_number,sba_eidl_declaration_number,fema_disaster_number,sba_disaster_number,damaged_property_city_name,damaged_property_zip_code,damaged_property_county/parish_name,damaged_property_state_code,total_verified_loss,verified_loss_real_estate,verified_loss_content,total_approved_loan_amount,approved_amount_real_estate,approved_amount_content,year,incident_type
10701,10702,1668,LA-00007,COLUMBIA,71418,CALDWELL,LA,490820,310303,180517,223100,113200,109900,2007,Severe Storm
10701,10702,1668,LA-00007,DELHI,71232,RICHLAND,LA,43361,32661,10700,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,DENHAM SPRINGS,70706,SAINT HELENA,LA,8701,5126,3575,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,DEQUINCY,70633,CALCASIEU,LA,208770,173640,35130,190700,155600,35100,2007,Severe Storm
10701,10702,1668,LA-00007,DERIDDER,70634,BEAUREGARD,LA,153969,85024,68945,72400,38600,33800,2007,Severe Storm
10701,10702,1668,LA-00007,ELTON,70532,JEFFERSON DAVIS,LA,24778,14378,10400,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,FLORIEN,71429,SABINE,LA,166757,120787,45970,84300,49200,35100,2007,Severe Storm
10701,10702,1668,LA-00007,GEORGETOWN,71432,GRANT,LA,48192,48192,0,47100,47100,0,2007,Severe Storm
10701,10702,1668,LA-00007,GILBERT,71336,FRANKLIN,LA,11449,10579,870,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,GRAND COTEAU,70541,SAINT LANDRY,LA,26492,24342,2150,26100,24000,2100,2007,Severe Storm
10701,10702,1668,LA-00007,GRAYSON,71435,CALDWELL,LA,33243,24743,8500,6900,6900,0,2007,Severe Storm
10701,10702,1668,LA-00007,GREENSBURG,70441,SAINT HELENA,LA,18573,10273,8300,13500,8000,5500,2007,Severe Storm
10701,10702,1668,LA-00007,JENA,71342,LA SALLE,LA,25722,23322,2400,20200,17800,2400,2007,Severe Storm
10701,10702,1668,LA-00007,JENNINGS,70546,JEFFERSON DAVIS,LA,24056,19706,4350,10000,5600,4400,2007,Severe Storm
10701,10702,1668,LA-00007,KENTWOOD,70444,SAINT HELENA,LA,10959,9209,1750,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,KINDER,70648,ALLEN,LA,267623,197520,70103,188300,118200,70100,2007,Severe Storm
10701,10702,1668,LA-00007,KROTZ SPRINGS,70750,SAINT LANDRY,LA,10179,9779,400,6800,6400,400,2007,Severe Storm
10701,10702,1668,LA-00007,LAKE CHARLES,70601,CALCASIEU,LA,163005,104444,58561,77400,36200,41200,2007,Severe Storm
10701,10702,1668,LA-00007,LAKE CHARLES,70607,CALCASIEU,LA,800,0,800,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,LAKE CHARLES,70611,CALCASIEU,LA,3468866,2022660,1446206,1933200,970100,963100,2007,Severe Storm
10701,10702,1668,LA-00007,LAKE CHARLES,70615,CALCASIEU,LA,74727,53607,21120,12100,0,12100,2007,Severe Storm
10701,10702,1668,LA-00007,LAWTELL,70550,SAINT LANDRY,LA,27247,20687,6560,18300,15000,3300,2007,Severe Storm
10701,10702,1668,LA-00007,LEESVILLE,71446,VERNON,LA,240311,168581,71730,168300,123300,45000,2007,Severe Storm
10701,10702,1668,LA-00007,LEONVILLE,70551,SAINT LANDRY,LA,9624,5874,3750,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,LONGVILLE,70652,BEAUREGARD,LA,1944,0,1944,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,MANGHAM,71259,RICHLAND,LA,38397,27297,11100,25200,14100,11100,2007,Severe Storm
10701,10702,1668,LA-00007,MANY,71449,SABINE,LA,3352,3352,0,3400,3400,0,2007,Severe Storm
10701,10702,1668,LA-00007,MONTGOMERY,71454,GRANT,LA,18247,17647,600,9800,9800,0,2007,Severe Storm
10701,10702,1668,LA-00007,MOSS BLUFF,70611,CALCASIEU,LA,176850,96750,80100,48800,24700,24100,2007,Severe Storm
10701,10702,1668,LA-00007,NATCHITOCHES,71457,NATCHITOCHES,LA,250605,174605,76000,47000,46600,400,2007,Severe Storm
10701,10702,1668,LA-00007,OLLA,71465,LA SALLE,LA,19325,19325,0,18600,18600,0,2007,Severe Storm
10701,10702,1668,LA-00007,OPELOUSAS,70570,SAINT LANDRY,LA,274959,233449,41510,103000,81100,21900,2007,Severe Storm
10701,10702,1668,LA-00007,OPELOUSAS,70571,SAINT LANDRY,LA,18727,11227,7500,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,PINE GROVE,70453,SAINT HELENA,LA,7535,7535,0,6300,6300,0,2007,Severe Storm
10701,10702,1668,LA-00007,PROVENCAL,71468,NATCHITOCHES,LA,91734,37769,53965,67900,27900,40000,2007,Severe Storm
10701,10702,1668,LA-00007,RAGLEY,70657,ALLEN,LA,38414,26564,11850,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,RAGLEY,70657,BEAUREGARD,LA,30439,15974,14465,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,RAGLEY,70657,CALCASIEU,LA,85073,73643,11430,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,RAYVILLE,71269,RICHLAND,LA,921116,560311,360805,349700,155800,193900,2007,Severe Storm
10701,10702,1668,LA-00007,SIKES,71473,WINN,LA,49249,44749,4500,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,STARKS,70661,CALCASIEU,LA,24723,21423,3300,21900,18600,3300,2007,Severe Storm
10701,10702,1668,LA-00007,START,71279,RICHLAND,LA,16298,16298,0,16300,16300,0,2007,Severe Storm
10701,10702,1668,LA-00007,SULPHUR,70663,CALCASIEU,LA,1823035,1168023,655012,894000,532400,361600,2007,Severe Storm
10701,10702,1668,LA-00007,TALLULAH,71282,MADISON,LA,63078,48023,15055,9700,4300,5400,2007,Severe Storm
10701,10702,1668,LA-00007,URANIA,71480,LA SALLE,LA,20574,9274,11300,5000,5000,0,2007,Severe Storm
10701,10702,1668,LA-00007,WESTLAKE,70669,CALCASIEU,LA,256724,160949,95775,181200,94500,86700,2007,Severe Storm
